日付,種別,個別ID,名前,原因
2015-09-10 01:18:33,艦娘,15124,伊168 (Lv:1),近代化改修
2015-09-10 01:18:33,艦娘,15126,磯波 (Lv:5),近代化改修
2015-09-10 01:18:50,艦娘,15123,荒潮 (Lv:3),近代化改修
2015-09-10 01:18:50,装備アイテム,25334,12.7cm連装砲,近代化改修
2015-09-10 01:18:50,艦娘,15112,弥生 (Lv:5),近代化改修
2015-09-10 01:18:50,装備アイテム,25319,12cm単装砲,近代化改修
2015-09-10 09:10:45,艦娘,15130,由良 (Lv:1),近代化改修
2015-09-10 09:10:45,装備アイテム,25345,14cm単装砲,近代化改修
2015-09-10 09:10:45,艦娘,15128,黒潮 (Lv:1),近代化改修
2015-09-10 09:10:45,装備アイテム,25341,12.7cm連装砲,近代化改修
2015-09-10 09:10:57,艦娘,15122,文月 (Lv:5),近代化改修
2015-09-10 09:10:57,装備アイテム,25333,12cm単装砲,近代化改修
2015-09-10 09:10:57,艦娘,15125,霞 (Lv:4),近代化改修
2015-09-10 09:10:57,装備アイテム,25337,12.7cm連装砲,近代化改修
2015-09-12 02:18:55,艦娘,15134,望月 (Lv:7),艦娘の解体
2015-09-12 02:18:55,装備アイテム,25352,12cm単装砲,艦娘の解体
2015-09-12 02:18:59,艦娘,15133,由良 (Lv:5),艦娘の解体
2015-09-12 02:18:59,装備アイテム,25351,14cm単装砲,艦娘の解体
2015-09-12 02:19:40,艦娘,15127,荒潮 (Lv:5),近代化改修
2015-09-12 02:19:40,装備アイテム,25339,12.7cm連装砲,近代化改修
2015-09-12 02:19:40,艦娘,15131,潮 (Lv:5),近代化改修
2015-09-12 02:19:40,装備アイテム,25349,12.7cm連装砲,近代化改修
2015-09-12 02:19:50,艦娘,15129,睦月 (Lv:4),近代化改修
2015-09-12 02:19:50,装備アイテム,25343,12cm単装砲,近代化改修
2015-09-12 02:19:50,装備アイテム,25344,7.7mm機銃,近代化改修
2015-09-12 02:19:50,艦娘,15132,多摩 (Lv:4),近代化改修
2015-09-12 02:19:50,装備アイテム,25350,14cm単装砲,近代化改修
2015-09-12 02:45:57,艦娘,15135,霰 (Lv:1),近代化改修
2015-09-12 02:45:57,装備アイテム,25355,12.7cm連装砲,近代化改修
2015-09-12 02:45:57,艦娘,15139,満潮 (Lv:1),近代化改修
2015-09-12 02:45:57,装備アイテム,25362,12.7cm連装砲,近代化改修
2015-09-12 02:45:57,艦娘,15140,夕立 (Lv:1),近代化改修
2015-09-12 02:45:57,装備アイテム,25363,12.7cm連装砲,近代化改修
2015-09-12 02:45:57,艦娘,15141,時雨 (Lv:1),近代化改修
2015-09-12 02:45:57,装備アイテム,25364,12.7cm連装砲,近代化改修
2015-09-12 02:57:06,艦娘,15144,五十鈴 (Lv:1),艦娘の解体
2015-09-12 02:57:06,装備アイテム,25368,14cm単装砲,艦娘の解体
2015-09-12 02:57:10,艦娘,15143,白雪 (Lv:1),艦娘の解体
2015-09-12 02:57:10,装備アイテム,25367,12.7cm連装砲,艦娘の解体
2015-09-12 02:57:15,艦娘,15142,睦月 (Lv:1),艦娘の解体
2015-09-12 02:57:15,装備アイテム,25365,12cm単装砲,艦娘の解体
2015-09-12 02:57:15,装備アイテム,25366,7.7mm機銃,艦娘の解体
2015-09-12 02:57:19,艦娘,15138,那珂 (Lv:1),艦娘の解体
2015-09-12 02:57:19,装備アイテム,25361,14cm単装砲,艦娘の解体
2015-09-13 03:02:48,艦娘,15137,涼風 (Lv:1),近代化改修
2015-09-13 03:02:48,装備アイテム,25359,12.7cm連装砲,近代化改修
2015-09-13 03:02:48,装備アイテム,25360,61cm四連装魚雷,近代化改修
2015-09-13 03:02:48,艦娘,15148,陽炎 (Lv:1),近代化改修
2015-09-13 03:02:48,装備アイテム,25376,12.7cm連装砲,近代化改修
2015-09-13 03:02:48,装備アイテム,25377,61cm四連装魚雷,近代化改修
2015-09-13 03:03:00,艦娘,15145,那珂 (Lv:1),近代化改修
2015-09-13 03:03:00,装備アイテム,25369,14cm単装砲,近代化改修
2015-09-13 03:03:00,艦娘,15147,浜風 (Lv:1),近代化改修
2015-09-13 03:03:00,装備アイテム,25373,12.7cm連装砲,近代化改修
2015-09-13 03:03:00,装備アイテム,25374,九四式爆雷投射機,近代化改修
2015-09-14 03:19:04,艦娘,15150,漣 (Lv:1),近代化改修
2015-09-14 03:19:04,装備アイテム,25379,12.7cm連装砲,近代化改修
2015-09-14 03:19:04,艦娘,15149,朧 (Lv:1),近代化改修
2015-09-14 03:19:04,装備アイテム,25378,12.7cm連装砲,近代化改修
2015-09-14 03:19:25,艦娘,15151,由良 (Lv:1),近代化改修
2015-09-14 03:19:25,装備アイテム,25380,14cm単装砲,近代化改修
2015-09-14 03:19:25,艦娘,15154,初春 (Lv:1),近代化改修
2015-09-14 03:19:25,装備アイテム,25384,12.7cm連装砲,近代化改修
2015-09-14 03:19:25,装備アイテム,25385,61cm三連装魚雷,近代化改修
2015-09-14 03:27:35,艦娘,15155,涼風 (Lv:1),艦娘の解体
2015-09-14 03:27:35,装備アイテム,25386,12.7cm連装砲,艦娘の解体
2015-09-14 03:27:35,装備アイテム,25387,61cm四連装魚雷,艦娘の解体
2015-09-14 03:27:40,艦娘,15153,白雪 (Lv:1),艦娘の解体
2015-09-14 03:27:40,装備アイテム,25383,12.7cm連装砲,艦娘の解体
